,count
YOU,2848
THE,2330
I,2217
A,1662
TO,1442
AND,948
IT,895
THAT,866
IN,814
OF,778
WHAT,743
ME,701
THIS,690
MY,649
YOUR,646
HE,620
IS,571
KNOW,565
WAS,544
ON,529
ALL,501
IT'S,492
FOR,484
WITH,478
DON'T,457
I'M,454
GOT,416
UP,402
SO,393
NO,372
RIGHT,369
DO,357
LIKE,356
ABOUT,356
WE,355
YOU'RE,351
HIM,349
NOT,340
YEAH,331
BUT,331
BE,328
OH,327
GET,307
OUT,305
HERE,302
HAVE,292
AT,291
ARE,290
JUST,288
THERE,287
THAT'S,262
GO,259
HIS,253
HE'S,246
FUCKING,243
WELL,241
THEY,226
HOW,226
GONNA,225
NOW,225
TONY,225
COME,215
FUCK,214
ONE,209
SHE,192
HAD,192
THINK,192
WERE,192
IF,190
GOOD,190
SOME,185
CAN,182
SAY,178
HER,176
OVER,169
SEE,168
FUCKIN',168
HEY,165
I'LL,165
WANT,161
WHEN,161
FROM,158
SAID,156
SHIT,151
WHY,151
TAKE,148
LOOK,147
GOTTA,140
BEEN,140
COULD,138
AN,137
TELL,136
DID,136
OR,132
OKAY,131
WHAT'S,131
DOWN,128
BACK,128
DIDN'T,128
AS,118
TIME,118
THING,115
US,115
MORNING,111
LA,110
WANNA,109
LITTLE,108
GUY,108
CALL,107
SHOULD,103
THEN,103
WHERE,103
TOLD,102
,100
HUH,100
CAN'T,99
SOMETHING,97
MAN,96
WHO,94
WAY,94
EVEN,94
OUR,94
YOURSELF,94
MAYBE,93
OFF,93
TOO,92
WOKE,91
MEAN,91
REALLY,91
OTHER,91
NEVER,91
NIGHT,90
GOD,89
NEED,87
JESUS,85
SHE'S,84
BY,84
GIVE,83
LET,82
TWO,82
MAKE,80
TALK,80
STILL,80
WE'RE,79
COUSIN,79
ALWAYS,78
BAD,77
THEM,76
PUT,76
GUYS,76
MORE,76
GOING,76
THANK,76
PEOPLE,75
NICE,74
AM,74
WOULD,73
KID,73
NEW,72
LOVE,71
INTO,71
EYES,71
HOME,71
WILL,71
UH,70
YEARS,70
THOUGHT,70
CAR,69
THESE,69
MOON,68
YA,68
HELLO,68
VERY,67
BLUE,67
DAY,67
THERE'S,67
HOUSE,66
MOTHER,65
DOING,65
THOSE,65
'CAUSE,64
LAST,64
THINGS,64
ANYTHING,63
WENT,62
SURE,62
AWAY,62
UNCLE,61
MUCH,61
ANY,61
SORRY,60
LIFE,58
GUN,58
FINE,58
JOHN,58
ELSE,57
AFTER,56
TON',55
LOT,55
ANYWAY,55
ONLY,54
KEEP,54
BELIEVE,54
PLEASE,54
GREAT,54
MONEY,53
UNDER,53
FRIEND,52
BECAUSE,52
HEAR,52
EVERYBODY,51
THANKS,51
OLD,51
AROUND,50
THAN,50
AGAIN,50
WRONG,49
FAMILY,48
PHIL,48
THEY'RE,48
HAPPENED,48
BEFORE,48
LONG,47
ANTHONY,47
CALLED,47
BUSINESS,46
FATHER,46
NEXT,45
CHRIST,45
TALKING,45
FIRST,45
EVERY,44
SCHOOL,44
BETTER,44
SAW,44
STAY,44
SAME,43
LISTEN,43
WASN'T,43
KIDS,42
SIGN,42
LET'S,42
WHATEVER,42
MADE,42
PROBLEM,42
HOW'S,42
WORK,42
BABY,42
ASK,42
REMEMBER,42
BIG,41
JOHNNY,41
HELP,41
BORN,40
WANTED,40
I'D,40
PLACE,40
THOUGH,40
HEARD,40
HAS,39
EASY,39
SOMEBODY,39
DAD,39
CARMINE,39
USED,39
EVER,38
WAIT,38
MR,38
SINCE,38
CHRISTOPHER,38
SON,38
STOP,37
KNOWS,37
FEEL,36
CAME,36
BROTHER,36
AJ,36
THEIR,36
NOTHING,36
TOOK,36
WE'LL,35
DOES,35
I'VE,35
OPEN,35
LOOKING,35
YES,35
SOPRANO,35
DOIN',35
WHOA,34
THROUGH,34
HI,34
GETTING,34
WHOLE,34
PROBABLY,34
YOU'D,33
MEET,33
CARE,33
USE,33
PHONE,33
LIVE,33
SUPPOSED,33
BEST,33
ENOUGH,32
COURSE,32
WEEK,32
LEFT,32
OWN,32
DONE,32
COUPLE,31
ACTUALLY,31
ANOTHER,31
MILLION,31
KNEW,31
MATTER,31
GOIN',31
HEAD,31
FORGET,31
THINKING,31
THREE,31
AH,31
EVERYTHING,31
PAULIE,31
START,30
GODDAMN,30
GUESS,30
WORLD,30
ONCE,30
ASS,30
YOU'VE,30
SHAME,30
HE'LL,30
FIND,30
BEING,30
DINNER,29
EAT,29
JOB,29
AIN'T,29
PARTY,29
LEAVE,29
TRY,29
ISN'T,29
STUFF,29
TOGETHER,29
KIND,29
SIT,29
PAY,28
TRYING,28
SAYS,28
FRIENDS,28
CARMELA,28
COMING,28
MIGHT,28
'EM,28
DOESN'T,27
GONE,27
SHINE,27
WANTS,26
COULDN'T,26
HARD,26
TIMES,26
NAME,26
AGO,25
BOTH,25
ADRIANA,25
SEND,25
WOMAN,25
GIRL,25
HAPPEN,25
DIFFERENT,25
YEAR,25
WHICH,25
WOULDN'T,25
WITHOUT,24
WIFE,24
DOCTOR,24
GAVE,24
TOV,24
ALREADY,24
TALKIN',24
BULLSHIT,24
POINT,24
WHERE'S,23
DAYS,23
BOBBY,23
WHILE,23
LATER,23
TURNED,23
YORK,23
DOOR,23
ALMOST,23
END,23
SHOW,22
MAY,22
TODAY,22
MINUTE,22
BEAUTIFUL,22
GOES,22
ALONE,22
TOP,22
ROOM,22
NOTHIN',22
GAME,22
SOMETHIN',21
FIVE,21
BOSS,21
LATE,21
MYSELF,21
PRETTY,21
CLUB,21
STREET,21
IMPORTANT,21
WHAT'D,21
HAPPY,21
AUNT,21
HAVING,21
YOU'LL,21
MANY,20
WHO'S,20
JANICE,20
HOLD,20
JUNIOR,20
COULD'VE,20
CRAZY,20
LOOKS,20
YOUNG,20
HUSBAND,20
STUPID,20
GETS,20
DEAD,20
HIT,20
SICK,20
FEECH,20
WON'T,20
BLUES,20
MIND,19
CHRISSY,19
T,19
HELL,19
HOUR,19
KILL,19
CUT,19
COFFEE,19
RUN,19
OUTTA,19
TAKING,19
IDEA,19
TILL,19
NUMBER,19
SEEN,19
ANYMORE,18
WALK,18
HONEY,18
SLEEP,18
JERSEY,18
TOWN,18
BIRTHDAY,18
RELAX,18
DEAL,18
FULL,18
TRUE,18
COMIN',18
FOUND,18
TALKED,18
DOG,18
HAND,18
HIMSELF,18
DAUGHTER,18
HEART,18
ASKED,18
MINE,18
TV,17
SHUT,17
MET,17
JOEY,17
MAKING,17
UNDERSTAND,17
FAR,17
BITCH,17
NOBODY,17
STARTED,17
FACE,17
SAYING,17
CASE,17
HOURS,17
MASSAGE,17
MUST,17
B,17
TONY'S,17
CLOSE,17
HAVEN'T,17
SET,17
TONIGHT,17
MOVE,17
WALKED,17
REASON,17
COLLEGE,17
MEADOW,17
TRUTH,17
LEAST,17
BRING,17
HALF,16
WISH,16
SUCH,16
MOTHERFUCKER,16
CHILDREN,16
ANYBODY,16
REAL,16
BURN,16
PIECE,16
PHILLY,16
BETWEEN,16
YET,16
FUCKED,16
WATCH,16
MIDDLE,16
POOR,16
WORKING,16
LADY,16
OUTSIDE,16
EXCUSE,15
LOST,15
WAITING,15
SECOND,15
LUCKY,15
LINE,15
CLEAN,15
SIDE,15
HO,15
MARRIED,15
PART,15
COMES,15
MOST,15
MOM,15
BLUNDETTO,15
SITUATION,15
HEAVEN,15
SING,15
SOMEONE,14
PAPER,14
SHOTGUN,14
MOUTH,14
PERSON,14
GUY'S,14
REST,14
BEAT,14
WELCOME,14
RESPECT,14
PRICK,14
ALSO,14
BOY,14
VITO,14
HANDS,14
CALLS,14
BUY,14
CHANGE,14
REALIZE,14
MISS,14
DR,14
SEAT,14
FINN,14
PICK,14
NEPHEW,14
TRYIN',14
CHOSEN,14
PAPA,14
AW,14
HIGH,14
FUNNY,14
UPSIDE,14
WEDDING,14
QUESTION,14
BROUGHT,14
CARM,14
GRAND,14
CHECK,13
SUMMER,13
SENT,13
SOMETIMES,13
THEY'LL,13
UPSTAIRS,13
TELLING,13
TROUBLE,13
HERE'S,13
PRISON,13
SERIOUS,13
AHEAD,13
SYSTEM,13
JASON,13
MEETING,13
HAIR,13
MAMA,13
PASSED,13
WONDER,13
EYE,13
EITHER,13
MINUTES,13
EACH,13
SURPRISE,13
CONTROL,13
NEIGHBORHOOD,13
MOVED,13
LORRAINE,13
UPSET,13
OFFICE,13
BALLS,13
HOSPITAL,12
WORRIED,12
STRAIGHT,12
SHOT,12
ANGELO,12
BOYS,12
ENJOY,12
DIED,12
LAWYER,12
TABLE,12
CHARGE,12
BED,12
CAUGHT,12
EXACTLY,12
NAH,12
MA,12
DRIVE,12
FEELINGS,12
OBVIOUSLY,12
MOVIE,12
JOE,12
THERAPY,12
PLUS,12
TOMORROW,12
WORRY,12
DAD'S,12
MARRIAGE,12
BODY,12
READY,12
MAZEL,12
FOOT,12
ASSHOLE,12
SACK,12
AGE,12
KILLED,12
NEEDS,12
LUNCH,12
SIMAN,12
SAYIN',11
FOUR,11
BIT,11
MOTHER'S,11
FIGHT,11
HASN'T,11
MAKES,11
SMART,11
STORY,11
II,11
LOOKIN',11
SHOULD'VE,11
STATE,11
FRONT,11
YOURS,11
SERVICE,11
AFRAID,11
LORDY,11
ARTIE,11
LORD,11
AFEELIN',11
FEW,11
SISTER,11
APPARENTLY,11
UNTIL,11
SITTING,11
SPECIAL,11
FACT,11
AGAINST,11
JUN',11
WORD,11
PLAY,11
ATTACK,11
WONDERFUL,11
COACH,11
ABLE,11
HESH,11
CITY,11
CHANCE,11
BROKE,11
HOTEL,11
SEEMS,11
WEEKS,10
HE'D,10
RECOGNIZE,10
LIVES,10
MEMORY,10
EARLY,10
NEWS,10
FEELING,10
MM,10
TIRED,10
TURN,10
SHOULDN'T,10
KINDA,10
TRIED,10
BLACK,10
RUNNING,10
COPS,10
WEREN'T,10
SWEAR,10
OW,10
THINKS,10
PARK,10
MAJOR,10
WEST,10
TOUGH,10
LESS,10
20,10
FARM,10
DREAM,10
FAVOR,10
WATER,10
DRINK,10
FUN,10
WOULD'VE,10
BEHIND,10
INSIDE,10
BEAR,10
EGG,10
IT'LL,10
SCARED,10
LEOTARDO,10
HAPPENS,10
HORRIBLE,10
FATHER'S,10
SOUND,10
ADE,9
JAN,9
CRYING,9
ANGER,9
GETTIN',9
BREAK,9
BLOW,9
DROP,9
INTERESTING,9
EVERYBODY'S,9
ARM,9
FINALLY,9
FIRE,9
BILL,9
GARAGE,9
FLOWERS,9
DAMN,9
BUNCH,9
CARD,9
DADDY,9
FOOD,9
RUSS,9
CAREFUL,9
HANDLE,9
BUCKS,9
PAYING,9
TELLIN',9
RIDE,9
JOHNNY'S,9
DIE,9
COCKSUCKER,9
SIR,9
JUDY,9
HOLY,9
LIKED,9
WOMEN,9
WE'VE,9
FREE,9
APPRECIATE,9
HATE,9
FRANKLY,9
SUDDENLY,9
TEST,9
SIX,9
READ,9
HOPE,9
FUNERAL,9
MRS,9
WORDS,9
ARREST,9
BILLY,9
GARBAGE,9
LIVING,9
PROGRAM,9
CASH,9
SUNDAY,8
LOVED,8
STOMACH,8
MEANT,8
OHOH,8
DIVORCE,8
PROUD,8
CLASS,8
COLD,8
VISIT,8
AMEN,8
CUNT,8
GIRLFRIEND,8
STEP,8
PAID,8
KNOWN,8
PEEPS,8
LYING,8
SUITCASE,8
GLAD,8
TOUCH,8
HORSE,8
DICK,8
ANSWER,8
STAND,8
LUCK,8
COKE,8
LANU,8
PARKING,8
CHRISTMAS,8
GENTLEMEN,8
CELL,8
WHENEVER,8
ROAD,8
DURING,8
NEEDED,8
YEHE,8
HUGH,8
DUE,8
ITALIAN,8
YOUSE,8
SAL,8
BAG,8
ABSOLUTELY,8
WINE,8
WEAR,8
PROCESS,8
ASKING,8
KIM,8
GENTLEMAN,8
BET,8
SEVEN,8
SHOE,8
BROTHERS,8
WEGLER,8
HURT,8
WEIRD,8
LEAVING,8
FISH,8
GLASS,8
FEET,8
JIMMY,8
TERRIBLE,8
SHOES,8
MENTIONED,8
PAIN,8
NEWARK,8
UNION,8
TRUCK,8
RAN,8
JOKE,8
SEPARATION,8
EXPECT,8
MONTH,8
SWEET,8
MAD,8
ALONG,8
SOUNDS,8
PAT,8
MARY,8
STICK,8
COCK,8
TURNS,8
MEN,8
THINKIN',8
BEYOND,7
MACHINES,7
TAKIN',7
ASLEEP,7
STOPPED,7
SAKE,7
SERIOUSLY,7
DRUGS,7
STORE,7
INSTEAD,7
SMELL,7
PROBLEMS,7
FIGURE,7
FIX,7
MEDICINE,7
BOB,7
CHRISSY'S,7
POWER,7
CORRADO,7
VITRO,7
PAINT,7
SPEECH,7
SHOP,7
POSSIBLE,7
SEEM,7
LIE,7
PHYSICAL,7
LAW,7
DRY,7
WORKED,7
EXCEPT,7
BUSY,7
WORTH,7
AREA,7
FRUIT,7
DRIVING,7
MOM'S,7
SEX,7
KIDDING,7
SON'S,7
SECURITY,7
CONSTRUCTION,7
CASINO,7
LOUD,7
MARONE,7
KEPT,7
GIRLS,7
KNOCK,7
CONCERNED,7
CHRIS,7
PARENTS,7
PEANUTS,7
ANIMAL,7
WAKE,7
FAT,7
ORDER,7
PICKED,7
FEGOLI,7
HAVIN',7
WOW,7
BOOKS,7
ALRIGHT,7
KID'S,7
BATHROOM,7
ABOVE,7
DROPPED,7
FORCE,7
BALL,7
SALUTE,7
AL,7
SUPPOSE,7
SECRET,7
RAGE,7
WE'D,7
CERTAIN,7
MASSARONE,7
SHORT,7
PORT,7
REGULAR,7
PLAYING,7
TAKEN,7
WAYS,7
BLAME,7
MOMMY,7
DRIVIN',7
EAST,7
LOAD,7
BOAT,7
JOHNSON,7
CRACK,7
HANG,7
FLORIDA,7
HOT,7
PULL,7
MONTHS,7
COUNTRY,7
CARS,7
BOOK,7
CRISIS,7
WRITE,7
DECISION,7
DEGREE,7
THROW,7
FUTURE,7
KICK,7
THERAPIST,7
BROKEN,7
FIGURED,7
HONESTLY,7
BEIN',7
SHOWS,7
BROOKLYN,6
ACTION,6
FAULT,6
LIED,6
VESPAS,6
CIGARETTES,6
BOX,6
KISS,6
INTEREST,6
FAITH,6
LIVED,6
COAT,6
DATE,6
ADD,6
WHITE,6
MEL,6
DEATH,6
WEARING,6
PAROLE,6
LOUISE,6
TIGHT,6
HUGE,6
LAWN,6
PLENTY,6
TRIP,6
TOMMY,6
MAID,6
WORKIN',6
HONEST,6
SETTLED,6
IDIOT,6
IT'D,6
PAST,6
COOL,6
ACCOUNTANT,6
CUDDLE,6
LADIES,6
DOVER,6
RUSTY,6
12,6
MOVING,6
SAVE,6
ACCIDENT,6
CONSIDER,6
UNCLE'S,6
15,6
SUPPORT,6
PISS,6
JUMPED,6
TESTS,6
PICKING,6
MARCO,6
HMM,6
POLO,6
HOMEWORK,6
INTERESTED,6
SPLIT,6
APOLOGIZE,6
DETROLIO,6
STUDY,6
STOLE,6
LIST,6
TICKETS,6
ACTING,6
TAKES,6
CUTE,6
BOUGHT,6
PRACTICALLY,6
PUSH,6
HEARING,6
SIL,6
OOH,6
SOPHIA,6
FUCK'S,6
CHEESE,6
HOW'D,6
DIFFERENCE,6
ANYONE,6
RESPECTS,6
GIVIN',6
HAT,6
GIVEN,6
SPEAK,6
DEPARTMENT,6
CALLUZZO,6
PEACE,6
AJ'S,6
CAKE,6
GINNY,6
WORSE,6
ROCK,6
TASTE,6
SAD,6
STROKE,6
PROPERTY,6
SUIT,6
PICTURE,6
RAIN,6
JEEZ,6
WEAPON,6
TOTALLY,6
RING,6
HUNDRED,6
LOW,6
PERIOD,6
CONTAINER,6
RULES,6
JAIL,6
GOLF,6
HADN'T,6
POOL,6
GIMME,6
ONES,6
MENTION,6
WATCHING,6
LOVES,6
SENSE,6
SEES,6
CRAP,6
FORGOT,5
MALE,5
BOTTLE,5
DENTAL,5
FEELS,5
SORT,5
AIR,5
MANNA,5
MISSED,5
LINES,5
WAR,5
POPE,5
REACH,5
LEARNING,5
JERRY,5
DRINKIN',5
RIGHTS,5
GRAB,5
DRINKING,5
DOGS,5
RATE,5
PROMISE,5
CONVERSATION,5
SHARE,5
SUCK,5
TABLES,5
SCOOTERS,5
JACKIE,5
PASS,5
GODFATHER,5
DEALER,5
SCRATCH,5
RELATIONSHIP,5
TREE,5
PROTECTION,5
LAY,5
CRY,5
TAX,5
BEATING,5
LOOKED,5
BUTTER,5
FOCUS,5
GENERAL,5
SUITE,5
FILM,5
MMM,5
BLOOD,5
GRADES,5
JACK,5
MEDICAL,5
SEPARATED,5
ANYTIME,5
EXPRESSION,5
DISCUSS,5
MISERABLE,5
BESIDES,5
VIOLENCE,5
CHANGES,5
CARLO,5
AGENT,5
FISKE,5
GRANDPA,5
ANGRY,5
JOINT,5
CIVIL,5
NORMAL,5
ARRANGEMENT,5
MEANS,5
WHEREVER,5
PULLED,5
BUS,5
BOYFRIEND,5
PEACHES,5
MESS,5
FALLS,5
CONTAINERS,5
SUFFERED,5
CIGARETTE,5
EATING,5
40,5
GOTTEN,5
SPENT,5
LEE,5
EXTRA,5
COST,5
FIGHTING,5
STUCK,5
FEDS,5
PLATE,5
BAR,5
HEH,5
CHICKEN,5
ITALY,5
RAISED,5
TELLS,5
TWICE,5
KEEPS,5
DEPRESSION,5
WRAPPED,5
ITS,5
SPEND,5
CORNER,5
SPORTS,5
LONGER,5
17,5
RUNNIN',5
KING,5
WALKING,5
KNOWING,5
CALIFORNIA,5
OFFER,5
CALLING,5
ALIVE,5
VARSITY,5
POWERFUL,5
CARDS,5
BRANCH,5
PHIL'S,5
SALUT',5
SIMPLE,5
YESTERDAY,5
KEEPING,5
HUNGRY,5
COMPLETELY,5
MARRY,5
PROFESSIONAL,5
ACT,5
GLEASON,5
SIGHT,5
LIKES,5
MATUSH,5
SEEING,5
PORTS,5
SOCCER,5
LIGHT,5
FEELIN',5
ANG',5
GARY,5
BIGGER,5
GAY,5
LANGUAGE,5
POINTS,5
YARD,5
SUN,5
MILES,5
DUCK,5
OPTIONS,5
KELLY,5
ISSUES,5
TODAY'S,5
PRAIRIE,5
PETRILLE,5
BILLS,5
CHURCH,5
MIAMI,5
C,5
APRILE,5
ALLOWANCE,5
CLEAR,5
COUSIN'S,5
HANDSOME,5
PETER,5
SMALL,5
BUDDY,5
SKIN,5
16,5
TOILET,5
FORGIVE,5
DARK,5
ACCOUNT,5
GIVES,5
LIFT,5
CANCER,5
DIFFICULT,5
SONG,5
PUTTING,5
NICOLE,5
FOOL,5
FENCE,5
PROJECT,5
CENTER,5
FINISH,5
TOMATOES,5
KEYS,4
AVERAGE,4
SEEMED,4
HERSELF,4
BEGINNING,4
RELIGIOUS,4
ASSETS,4
JURY,4
BOMB,4
COOKING,4
NORTH,4
LINEN,4
TWINS,4
JOKES,4
CARMELA'S,4
LONGTERM,4
DAMAGE,4
PRESIDENT,4
USUALLY,4
GARDENER,4
MACHINE,4
SOPH,4
POTENTIAL,4
LUPERTAZZI,4
NANCY,4
FALL,4
FEDERAL,4
11,4
SUPERVISOR,4
COOK,4
REMIND,4
DESPITE,4
PREGNANT,4
LEGS,4
MOLTISANTI,4
DEPRESSED,4
MINORITY,4
AWAKE,4
QUARTER,4
PROVOLONE,4
CHANGED,4
SKIP,4
TRACK,4
OVEN,4
PLEASANT,4
ALTHOUGH,4
WHOEVER,4
TRIAL,4
HON,4
TYPE,4
LIVIN',4
PEE,4
WIRE,4
UNLESS,4
CANNOT,4
IDEAS,4
HURTS,4
THREW,4
MOTHERFUCKING,4
SAINT,4
SHH,4
DRIVER,4
SUKANYA,4
JERKOFF,4
EGGS,4
GOODBYE,4
TUTOR,4
RIVER,4
NECK,4
WHIP,4
PAUL,4
RELATIVE,4
DECIDED,4
TEMPER,4
SUCCESS,4
ASKIN',4
ATTENTION,4
PARTNER,4
AMERICAN,4
REHAB,4
CONCETTA,4
DRUMS,4
RELEASED,4
JOIN,4
NINE,4
VIEW,4
MODERN,4
HANDED,4
PAL,4
ENGLISH,4
CARMINE'S,4
PAN,4
POSITION,4
GREENBERG,4
LEG,4
RETIRED,4
CHOICES,4
500,4
GLOBAL,4
WOLF,4
SOMEBODY'S,4
VOICE,4
MEADOW'S,4
DEFINITELY,4
RACETRACK,4
PRESS,4
NATIONAL,4
ARIZONA,4
GORGEOUS,4
FINANCIALLY,4
PANIC,4
THING'S,4
SENDS,4
APPLICATIONS,4
WONDERING,4
SLOW,4
FRAN,4
TRASH,4
ACCEPT,4
LEARN,4
HEADACHE,4
WRITING,4
YO,4
DROVE,4
PERHAPS,4
SETTLE,4
RENT,4
CLOSET,4
ROUND,4
WORKS,4
WRITES,4
NOTICED,4
SWEETHEART,4
GOD'S,4
GENE,4
KOREAN,4
EVENING,4
BUCCO,4
1200,4
LOTTA,4
SOMEPLACE,4
EARN,4
WIFE'S,4
GRASS,4
RECORD,4
BURNING,4
OUGHT,4
IMAGINE,4
14,4
CANCEL,4
TOUCHED,4
BENNY,4
BARELY,4
BING,4
PAINTING,4
2:00,4
USING,4
SATURDAY,4
SPENDIN',4
TRUST,4
AFFORD,4
VENDING,4
WITHIN,4
HEALTH,4
CAPTAIN,4
AFFECTS,4
FIRED,4
SYNDROME,4
FELICIA,4
GIVING,4
SIN,4
QUIT,4
FELLAS,4
STRESS,4
CHEST,4
CAR'S,4
CONSIGLIERE,4
COMMIT,4
COUSINS,4
SLIPPERS,4
DUMP,4
ANYWAYS,4
INCOME,4
OIL,4
AUTHORITY,4
CLOSED,4
OURS,4
